company_name,contact_email,industry,revenue_millions,employees,lead_source,notes
NexGen Robotics,hello@nexgen.io,Robotics,85.0,1200,conference,POC in progress — wants demo by Friday
Verdant Energy,sales@verdant.energy,CleanTech,200.0,3400,referral,Strategic partnership under discussion
Pinnacle Health,info@pinnacle.health,HealthTech,150.0,2800,inbound,New funding round — expanding sales team
BlueShift Analytics,contact@blueshift.ai,AI/ML,45.0,600,website,Evaluating enterprise tier
TerraForm Logistics,ops@terraform-log.com,Logistics,320.0,12000,partner,Global rollout — multi-region deal
Arcticline Security,cso@arcticline.io,Cybersecurity,60.0,850,conference,Compliance-driven purchase this quarter
Cascade Media,ads@cascade.media,AdTech,22.0,400,referral,Testing pilot — needs contract negotiation
Prism Biotech,research@prism.bio,Biotech,180.0,2200,inbound,Regulatory milestone achieved — procurement ready
EmberStack Games,studio@emberstack.com,Gaming,12.0,180,website,Early stage — exploring monetisation tools
Atlas Commerce,eng@atlas-commerce.io,E-Commerce,500.0,18000,partner,Platform migration — enterprise agreement
Frontline Defense,gov@frontlinedefense.com,Defense,750.0,25000,conference,Government contract — classified scope
Radiant Cloud,devrel@radiant.cloud,Cloud Infrastructure,95.0,1400,referral,Expanding devtools — high-intent engagement
