company_name,contact_email,industry,revenue_millions,employees,lead_source,notes
Apex Digital,hello@apex.digital,Technology,250.0,5000,conference,Urgent — executive sponsor engaged
BlueCore Systems,,Manufacturing,40.0,900,referral,Exploring IIoT integration
CrestLine Pharma,comms@crestline.pharma,Pharma,800.0,15000,partner,Blockbuster drug patent cliff — seeking adjacencies
DoverTech,,Technology,3.0,40,website,Tiny startup — no clear buying signal
ElasticOps,devops@elasticops.io,DevOps,18.0,250,inbound,Pilot running — expansion likely
FusionGrid,grid@fusion.energy,Energy,1200.0,45000,conference,National infrastructure deal — multi-year
DoverTech,duplicate@contact.com,Technology,100.0,2000,referral,Duplicate entry — different contact but same company
Grayson Analytics,grayson@analytics.io,AI/ML,55.0,700,website,Hot prospect — multiple product interests
Horizon Banc,,Finance,7.0,120,referral,Stalled deal — competitor engagement detected
IronVault Security,ivs@ironvault.security,Cybersecurity,90.0,1100,conference,Urgent — ransomware attack in industry
JadeLine Logistics,ops@jadeline.io,Logistics,12.0,300,website,Small fleet operator — low budget
Kestrel AI,team@kestrel.ai,AI/ML,30.0,500,conference,Expanding rapidly — new funding announced
Luminant Media,ads@luminant.media,AdTech,6.0,80,referral,Churn risk — unhappy with current vendor
Meridian Health,info@meridian.health,HealthTech,,150,website,Mission-critical need — compliance deadline looming
NorthPeak Analytics,northpeak@analytics.io,AI/ML,110.0,2000,inbound,Expanding — multiple contracts in pipeline
OmniCore Systems,omnicore@systems.io,Technology,500.0,12000,partner,Global expansion — urgent procurement cycle
OmniCore Systems,omnicore@systems.io,Technology,500.0,12000,partner,Duplicate row — exact same data repeated
